Results:
x: 0.000000; y: 0.000000
x: 0.100000; y: 0.000000
x: 0.200000; y: 0.010000
x: 0.300000; y: 0.030000
x: 0.400000; y: 0.060000
x: 0.500000; y: 0.100000
x: 0.600000; y: 0.150000
x: 0.700000; y: 0.210000
x: 0.800000; y: 0.280000
x: 0.900000; y: 0.360000
x: 1.000000; y: 0.450000
x: 1.100000; y: 0.550000
x: 1.200000; y: 0.660000
x: 1.300000; y: 0.780000
x: 1.400000; y: 0.910000
x: 1.500000; y: 1.050000
x: 1.600000; y: 1.200000
x: 1.700000; y: 1.360000
x: 1.800000; y: 1.530000
x: 1.900000; y: 1.710000
x: 2.000000; y: 1.900000
x: 2.100000; y: 2.100000
x: 2.200000; y: 2.310000
x: 2.300000; y: 2.530000
x: 2.400000; y: 2.760000
x: 2.500000; y: 3.000000
x: 2.600000; y: 3.250000
x: 2.700000; y: 3.510000
x: 2.800000; y: 3.780000
x: 2.900000; y: 4.060000
x: 3.000000; y: 4.350000
x: 3.100000; y: 4.650000
x: 3.200000; y: 4.960000
x: 3.300000; y: 5.280000
x: 3.400000; y: 5.610000
x: 3.500000; y: 5.950000
x: 3.600000; y: 6.300000
x: 3.700000; y: 6.660000
x: 3.800000; y: 7.030000
x: 3.900000; y: 7.410000
x: 4.000000; y: 7.800000
